Especie,Latitude,Longitude
Biomphalaria_straminea,-19.535933,-39.87935
Biomphalaria_straminea,-20.121349,-42.38527
Biomphalaria_straminea,-22.073181,-41.340402
Biomphalaria_straminea,-22.042452,-43.024029
Biomphalaria_straminea,-22.713082,-43.149601
Biomphalaria_straminea,-1.223107,-46.277814
Biomphalaria_straminea,-1.019691,-46.762859
Biomphalaria_straminea,-18.356376,-47.836853
Biomphalaria_straminea,-27.477803,-58.874371
Biomphalaria_straminea,-9.97708,-67.806871
Biomphalaria_straminea,-7.638583,-72.66535
Biomphalaria_straminea,-3.824095,-60.366144
Biomphalaria_straminea,-7.514098,-63.017137
Biomphalaria_straminea,-3.297036,-60.634008
Biomphalaria_straminea,-3.124001,-60.032047
Biomphalaria_straminea,2.828847,-60.656302
Biomphalaria_straminea,-1.958109,-54.740374
Biomphalaria_straminea,-3.206321,-52.205173
Biomphalaria_straminea,-1.331247,-48.339206
Biomphalaria_straminea,-1.285585,-48.431044
Biomphalaria_straminea,-2.623448,-54.981277
Biomphalaria_straminea,-1.054732,-46.760921
Biomphalaria_straminea,-1.692093,-50.483329
Biomphalaria_straminea,-4.275875,-55.982264
Biomphalaria_straminea,-2.016468,-54.092989
Biomphalaria_straminea,-1.771634,-55.868599
Biomphalaria_straminea,-0.933239,-47.10642
Biomphalaria_straminea,-0.897163,-47.003671
Biomphalaria_straminea,-1.172785,-48.313472
Biomphalaria_straminea,-2.416605,-5.4709302
Biomphalaria_straminea,-1.207059,-46.135741
Biomphalaria_straminea,-4.921488,-47.494395
Biomphalaria_straminea,-2.403044,-44.422693
Biomphalaria_straminea,-2.873686,-41.908356
Biomphalaria_straminea,-3.457452,-44.780495
Biomphalaria_straminea,-2.712886,-44.697371
Biomphalaria_straminea,-2.75273,-42.82354
Biomphalaria_straminea,-7.225448,-44.552455
Biomphalaria_straminea,-2.449683,-44.778753
Biomphalaria_straminea,-2.89019,-44.649327
Biomphalaria_straminea,-1.826863,-44.864375
Biomphalaria_straminea,-2.136868,-44.59696
Biomphalaria_straminea,-2.59531,-43461570
Biomphalaria_straminea,-5.443436,-47.39802
Biomphalaria_straminea,-3.080522,-44.995703
Biomphalaria_straminea,-2.063843,-44.78193
Biomphalaria_straminea,-6.745256,-44.051617
Biomphalaria_straminea,-2.472224,-44.116099
Biomphalaria_straminea,-2.648646,-44.904429
Biomphalaria_straminea,-6.432447,-44.012892
Biomphalaria_straminea,-5.682343,-43.088883
Biomphalaria_straminea,-6.182822,-43.782798
Biomphalaria_straminea,-3.609927,-45.347581
Biomphalaria_straminea,-2.518082,-45.069091
Biomphalaria_straminea,-2.509915,-43.443699
Biomphalaria_straminea,-2.941915,-44.244838
Biomphalaria_straminea,-2.236706,-45.311493
Biomphalaria_straminea,-2.703416,-44.804496
Biomphalaria_straminea,-5.576055,-44.88071
Biomphalaria_straminea,-2.984581,-44.808497
Biomphalaria_straminea,-6.511336,-43.69045
Biomphalaria_straminea,-2.558107,-44.294871
Biomphalaria_straminea,-2.883304,-44.874566
Biomphalaria_straminea,-5.101977,-42.818685
Biomphalaria_straminea,-1.6731,-45.368182
Biomphalaria_straminea,-2.76545,-42.274643
Biomphalaria_straminea,-3.195085,-44.996177
Biomphalaria_straminea,-12.626544,-47.883437
Biomphalaria_straminea,-12.035775,-48.52872
